dataset,init,optim,method,tau,fold,balanced_accuracy,macro_f1,macro_auc
imbalanced,pretrained,adam,baseline,0.0,0,0.7506383396562776,0.5738469826054207,0.9375303641494698
imbalanced,pretrained,adam,baseline,0.0,1,0.7206808926842603,0.5215434737382363,0.946487492503243
imbalanced,pretrained,adam,baseline,0.0,2,0.7599368939922787,0.6098855296549343,0.9553988167897289
imbalanced,pretrained,adam,baseline,0.0,3,0.7241456138242957,0.5513460110943412,0.9363493267376478
imbalanced,pretrained,adam,baseline,0.0,4,0.7072317232418665,0.5502474106000016,0.9356479822322437
imbalanced,pretrained,adam,baseline,0.0,5,0.7850498746193324,0.5877188491810182,0.9513610554643941
imbalanced,pretrained,adam,baseline,0.0,6,0.7246710905362412,0.5249089441396644,0.9425580916697583
imbalanced,pretrained,adam,baseline,0.0,7,0.7745905426654535,0.6029985202706053,0.9418213310531603
imbalanced,pretrained,adam,baseline,0.0,8,0.7608015913508895,0.5373890678145273,0.9516042239238354
imbalanced,pretrained,adam,baseline,0.0,9,0.7865663976632767,0.6175474903019997,0.9521280459267192
imbalanced,pretrained,adam,baseline,0.1,0,0.6092600396569237,0.2306412737312835,0.8758367841171586
imbalanced,pretrained,adam,baseline,0.1,1,0.5703932114260792,0.24038216068974802,0.8725016349811913
imbalanced,pretrained,adam,baseline,0.1,2,0.6427570861570453,0.2932830723589329,0.8938029271192517
imbalanced,pretrained,adam,baseline,0.1,3,0.6050214358117899,0.26812532780770343,0.8755679389766533
imbalanced,pretrained,adam,baseline,0.1,4,0.5761199681471172,0.24707952723418694,0.8768918417184349
imbalanced,pretrained,adam,baseline,0.1,5,0.621098384225622,0.2634842212176394,0.8752445452164277
imbalanced,pretrained,adam,baseline,0.1,6,0.6133729254119863,0.25609403945556136,0.8738915556686454
imbalanced,pretrained,adam,baseline,0.1,7,0.5731527562715415,0.24140824442988418,0.8584170429849648
imbalanced,pretrained,adam,baseline,0.1,8,0.6698878857937655,0.26548207197128326,0.8949617568696736
imbalanced,pretrained,adam,baseline,0.1,9,0.6133022038166592,0.24657270661166858,0.8626180593200162
imbalanced,pretrained,adam,baseline,0.2,0,0.6316717313386319,0.2451324435985419,0.8758634308212788
imbalanced,pretrained,adam,baseline,0.2,1,0.5211552261517846,0.2040414060674582,0.8426976818518133
imbalanced,pretrained,adam,baseline,0.2,2,0.6117052978103515,0.22834686994906803,0.8655503596026374
imbalanced,pretrained,adam,baseline,0.2,3,0.5849851924058098,0.25442515924337306,0.8708861631579808
imbalanced,pretrained,adam,baseline,0.2,4,0.6308829935033499,0.24459519368067942,0.8618353699175944
imbalanced,pretrained,adam,baseline,0.2,5,0.6533987415973598,0.2682839756392182,0.8788114141480442
imbalanced,pretrained,adam,baseline,0.2,6,0.5810635601793911,0.22326928433493903,0.834856957590891
imbalanced,pretrained,adam,baseline,0.2,7,0.5864894725484906,0.22403555609055664,0.8580338814033475
imbalanced,pretrained,adam,baseline,0.2,8,0.6263572936554931,0.24107271448866707,0.8733435544333096
imbalanced,pretrained,adam,baseline,0.2,9,0.5961922303189547,0.23901673843896468,0.8641736931445635
imbalanced,pretrained,adam,baseline,0.3,0,0.5533835904628331,0.2019916111302305,0.8530483726736481
imbalanced,pretrained,adam,baseline,0.3,1,0.4961273226702293,0.1906252260308897,0.8185199501127126
imbalanced,pretrained,adam,baseline,0.3,2,0.5902602030399162,0.22526475785578962,0.8597595440586038
imbalanced,pretrained,adam,baseline,0.3,3,0.5256899818448962,0.20293842179201826,0.8180832794841132
imbalanced,pretrained,adam,baseline,0.3,4,0.5283685180059737,0.2004716622214092,0.8185693243763639
imbalanced,pretrained,adam,baseline,0.3,5,0.5964405020094324,0.22038688564943337,0.8609784360668259
imbalanced,pretrained,adam,baseline,0.3,6,0.4803990369746863,0.19089693555902318,0.7944139274320848
imbalanced,pretrained,adam,baseline,0.3,7,0.5063370923571947,0.1891533886212071,0.8172859165992171
imbalanced,pretrained,adam,baseline,0.3,8,0.5939705798396917,0.21903941200000923,0.8544463313153653
imbalanced,pretrained,adam,baseline,0.3,9,0.5582845604380304,0.2166833621836057,0.8351744982957221
imbalanced,pretrained,adam,baseline,0.4,0,0.5395379234995141,0.19894603032547634,0.8313623519761111
imbalanced,pretrained,adam,baseline,0.4,1,0.477363080048503,0.17375458664126803,0.803803921033819
imbalanced,pretrained,adam,baseline,0.4,2,0.5497344065850928,0.18953657301167767,0.8411809522964833
imbalanced,pretrained,adam,baseline,0.4,3,0.4900757509715277,0.1868528709195864,0.8151725087605274
imbalanced,pretrained,adam,baseline,0.4,4,0.551679245270069,0.20520024132647433,0.8326985578042302
imbalanced,pretrained,adam,baseline,0.4,5,0.5213459666356939,0.18102298195678174,0.8227816625309552
imbalanced,pretrained,adam,baseline,0.4,6,0.5088344344520305,0.18725688374945867,0.7952032066022995
imbalanced,pretrained,adam,baseline,0.4,7,0.5466238148711965,0.19211279944070828,0.8287760931623371
imbalanced,pretrained,adam,baseline,0.4,8,0.5352568815181081,0.18866108551174454,0.8343446230410573
imbalanced,pretrained,adam,baseline,0.4,9,0.5122842261824042,0.18040496092543826,0.817398020201608
imbalanced,pretrained,adam,baseline,0.5,0,0.4646510064902612,0.16417225026736354,0.812265647838477
imbalanced,pretrained,adam,baseline,0.5,1,0.4832786778061261,0.16575818115710567,0.7893979081894277
imbalanced,pretrained,adam,baseline,0.5,2,0.4825228918546891,0.16487496412917033,0.8172074128275693
imbalanced,pretrained,adam,baseline,0.5,3,0.4585755013316405,0.17526061329100087,0.7809477920738113
imbalanced,pretrained,adam,baseline,0.5,4,0.4409987607296841,0.16823176995518213,0.7854753218948203
imbalanced,pretrained,adam,baseline,0.5,5,0.5241840279770603,0.1805931713230302,0.8199210301807793
imbalanced,pretrained,adam,baseline,0.5,6,0.4101418855780142,0.13808895418141479,0.7517974762617389
imbalanced,pretrained,adam,baseline,0.5,7,0.5724719731609497,0.19709303540742976,0.831973412628446
imbalanced,pretrained,adam,baseline,0.5,8,0.5085994395651644,0.17275154517623806,0.8201433079860495
imbalanced,pretrained,adam,baseline,0.5,9,0.4783142835006381,0.16944269795185812,0.7905712256376238
