metric,tau,method_a,method_b,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,mean_delta,p_raw,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_holm
BA,0.0,baseline,SCE,10,-0.004998038439617503,-0.024779088879174384,0.015243370481523607,23.0,0.6953125,0.6484375,-0.1636363636363637,-1,10000,True,-0.004998038439617503,0.6953125,0.86328125,0.79296875,n.s.,n.s.,True,,0.86328125
BA,0.0,baseline,ELR,10,0.07762413314170949,0.052033525730966965,0.10165099684128903,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.07762413314170949,0.00390625,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,0.0,baseline,AsyCo,10,0.09008685560622745,0.058825855762079576,0.12004707526382853,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.09008685560622745,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,0.0,SCE,ELR,10,0.08262217158132698,0.06134382940825959,0.10217254872064412,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.08262217158132698,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,0.0,SCE,AsyCo,10,0.09508489404584494,0.06369654130365915,0.12606026545874696,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.09508489404584494,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,0.0,ELR,AsyCo,10,0.012462722464517961,-0.014202187124503718,0.03812554123373992,19.0,0.431640625,0.396484375,0.3090909090909091,1,10000,True,0.012462722464517961,0.431640625,0.86328125,0.79296875,n.s.,n.s.,True,,0.86328125
BA,0.1,baseline,SCE,10,-0.10270973463111847,-0.11794951061979551,-0.08564765019278585,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.10270973463111847,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
BA,0.1,baseline,ELR,10,-0.0035405360792621467,-0.016035645443126835,0.00926816583673168,20.0,0.4921875,0.61328125,-0.2727272727272727,-1,10000,True,-0.0035405360792621467,0.4921875,0.826171875,0.61328125,n.s.,n.s.,True,,0.826171875
BA,0.1,baseline,AsyCo,10,0.022874080624944487,-0.0011687205574495883,0.049921058812630516,16.0,0.275390625,0.142578125,0.4181818181818182,1,10000,True,0.022874080624944487,0.275390625,0.826171875,0.427734375,n.s.,n.s.,True,,0.826171875
BA,0.1,SCE,ELR,10,0.09916919855185632,0.08583610024334339,0.11303197049999011,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.09916919855185632,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,0.1,SCE,AsyCo,10,0.12558381525606296,0.09529493438763095,0.15826524746026996,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.12558381525606296,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,0.1,ELR,AsyCo,10,0.026414616704206632,-0.0035669924339070402,0.06062148498294091,18.0,0.375,0.173828125,0.34545454545454546,1,10000,True,0.026414616704206632,0.375,0.826171875,0.427734375,n.s.,n.s.,True,,0.826171875
BA,0.2,baseline,SCE,10,-0.06587362472021444,-0.08983381442649953,-0.03667215526076284,2.0,0.005859375,0.005859375,-0.9272727272727272,-1,10000,True,-0.06587362472021444,0.005859375,0.01953125,0.01953125,-*,-*,True,,0.01953125
BA,0.2,baseline,ELR,10,-0.007994935577165208,-0.022848091745633393,0.005960765688148204,19.0,0.431640625,0.328125,-0.3090909090909091,-1,10000,True,-0.007994935577165208,0.431640625,0.431640625,0.328125,n.s.,n.s.,True,,0.431640625
BA,0.2,baseline,AsyCo,10,0.0394088168816923,0.008581035003286101,0.0716556732014828,8.0,0.048828125,0.052734375,0.7090909090909091,1,10000,True,0.0394088168816923,0.048828125,0.09765625,0.10546875,n.s.,n.s.,True,,0.09765625
BA,0.2,SCE,ELR,10,0.05787868914304922,0.034426219433529255,0.07799894677203102,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.05787868914304922,0.00390625,0.01953125,0.01953125,+*,+*,True,,0.01953125
BA,0.2,SCE,AsyCo,10,0.10528244160190674,0.08736684332074275,0.12834399974529656,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.10528244160190674,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,0.2,ELR,AsyCo,10,0.04740375245885751,0.024948173869459727,0.07060687236945055,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.04740375245885751,0.00390625,0.01953125,0.01953125,+*,+*,True,,0.01953125
BA,0.3,baseline,SCE,10,-0.06761930282315273,-0.0876256548953627,-0.04834936362555342,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.06761930282315273,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
BA,0.3,baseline,ELR,10,-0.017046513092341557,-0.03708800953910678,0.0029090521281904817,16.0,0.275390625,0.154296875,-0.4181818181818182,-1,10000,True,-0.017046513092341557,0.275390625,0.55078125,0.30859375,n.s.,n.s.,True,,0.55078125
BA,0.3,baseline,AsyCo,10,0.0037246954716239787,-0.026057696069231886,0.03286237033853359,25.0,0.845703125,0.826171875,0.09090909090909094,1,10000,True,0.0037246954716239787,0.845703125,0.845703125,0.826171875,n.s.,n.s.,True,,0.845703125
BA,0.3,SCE,ELR,10,0.05057278973081118,0.03873308529677094,0.06151490416494715,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.05057278973081118,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,0.3,SCE,AsyCo,10,0.07134399829477672,0.05291197404207632,0.08857666115206056,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.07134399829477672,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,0.3,ELR,AsyCo,10,0.020771208563965537,0.0012360184794891235,0.039686125092376234,10.0,0.083984375,0.076171875,0.6363636363636364,1,10000,True,0.020771208563965537,0.083984375,0.251953125,0.228515625,n.s.,n.s.,True,,0.251953125
BA,0.4,baseline,SCE,10,-0.051875713953217786,-0.06631900318124015,-0.0375996594510212,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.051875713953217786,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
BA,0.4,baseline,ELR,10,0.002932863450383255,-0.011703188227437709,0.019512513334388294,25.0,0.845703125,0.73828125,0.09090909090909094,1,10000,True,0.002932863450383255,0.845703125,0.86328125,0.73828125,n.s.,n.s.,True,,0.86328125
BA,0.4,baseline,AsyCo,10,-0.0097873345834192,-0.027247197927156405,0.007507359883055852,19.0,0.431640625,0.30859375,-0.3090909090909091,-1,10000,True,-0.0097873345834192,0.431640625,0.86328125,0.720703125,n.s.,n.s.,True,,0.86328125
BA,0.4,SCE,ELR,10,0.054808577403601046,0.030467825889530672,0.08021007085512023,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.054808577403601046,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,0.4,SCE,AsyCo,10,0.04208837936979858,0.02108542070841581,0.06197793425590165,3.0,0.009765625,0.0078125,0.8909090909090909,1,10000,True,0.04208837936979858,0.009765625,0.0390625,0.03125,+*,+*,True,,0.0390625
BA,0.4,ELR,AsyCo,10,-0.012720198033802454,-0.03115630292900238,0.00630555968043228,15.0,0.232421875,0.240234375,-0.4545454545454546,-1,10000,True,-0.012720198033802454,0.232421875,0.697265625,0.720703125,n.s.,n.s.,True,,0.697265625
BA,0.5,baseline,SCE,10,-0.060468121849239366,-0.08904432346754451,-0.03220231064100576,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,-0.060468121849239366,0.00390625,0.0234375,0.0234375,-*,-*,True,,0.0234375
BA,0.5,baseline,ELR,10,-0.00876477571495649,-0.030131356287799234,0.01120488517892033,23.0,0.6953125,0.4765625,-0.1636363636363637,-1,10000,True,-0.00876477571495649,0.6953125,0.6953125,0.4765625,n.s.,n.s.,True,,0.6953125
BA,0.5,baseline,AsyCo,10,-0.029214408915080592,-0.04841691725329927,-0.011164457213498735,5.0,0.01953125,0.015625,-0.8181818181818181,-1,10000,True,-0.029214408915080592,0.01953125,0.078125,0.0625,n.s.,n.s.,True,,0.078125
BA,0.5,SCE,ELR,10,0.05170334613428287,0.03137339155184678,0.07223278687984837,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.05170334613428287,0.00390625,0.0234375,0.0234375,+*,+*,True,,0.0234375
BA,0.5,SCE,AsyCo,10,0.031253712934158774,0.0014649682249495304,0.06066703971082748,12.0,0.130859375,0.08203125,0.5636363636363637,1,10000,True,0.031253712934158774,0.130859375,0.392578125,0.24609375,n.s.,n.s.,True,,0.392578125
BA,0.5,ELR,AsyCo,10,-0.0204496332001241,-0.04601590581751934,0.0014453400187399764,13.0,0.16015625,0.13671875,-0.5272727272727273,-1,10000,True,-0.0204496332001241,0.16015625,0.392578125,0.2734375,n.s.,n.s.,True,,0.392578125
MacroF1,0.0,baseline,SCE,10,-0.10394140516313607,-0.1215977694705007,-0.08513342882029988,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.10394140516313607,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroF1,0.0,baseline,ELR,10,0.15072564575709596,0.10840539239900396,0.182720648815216,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.15072564575709596,0.00390625,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.0,baseline,AsyCo,10,0.13281114621598342,0.10906626673906113,0.1567622965799608,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.13281114621598342,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.0,SCE,ELR,10,0.254667050920232,0.2196619869320781,0.2825798983763305,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.254667050920232,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.0,SCE,AsyCo,10,0.2367525513791195,0.21811697602756316,0.2561158530161673,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.2367525513791195,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.0,ELR,AsyCo,10,-0.0179144995411125,-0.04128954677266642,0.012173924117510983,11.0,0.10546875,0.25,-0.6,-1,10000,True,-0.0179144995411125,0.10546875,0.10546875,0.25,n.s.,n.s.,True,,0.10546875
MacroF1,0.1,baseline,SCE,10,-0.24621722382240038,-0.25856466229458824,-0.23471000429041983,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.24621722382240038,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroF1,0.1,baseline,ELR,10,0.005471576604235323,-0.0004193741088372079,0.011465363763505439,13.0,0.16015625,0.125,0.5272727272727273,1,10000,True,0.005471576604235323,0.16015625,0.16015625,0.125,n.s.,n.s.,True,,0.16015625
MacroF1,0.1,baseline,AsyCo,10,-0.03208424496230868,-0.04532368802028031,-0.018366316989118038,2.0,0.005859375,0.005859375,-0.9272727272727272,-1,10000,True,-0.03208424496230868,0.005859375,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroF1,0.1,SCE,ELR,10,0.25168880042663566,0.24150988124991335,0.2619516832778084,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.25168880042663566,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.1,SCE,AsyCo,10,0.2141329788600917,0.19397453395202754,0.23398243630373958,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.2141329788600917,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.1,ELR,AsyCo,10,-0.03755582156654401,-0.051472792475911015,-0.02311593332457636,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,-0.03755582156654401,0.00390625,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroF1,0.2,baseline,SCE,10,-0.17852929613410967,-0.1916906031170289,-0.1643886361902108,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.17852929613410967,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroF1,0.2,baseline,ELR,10,-0.004439533633558185,-0.011815715370065536,0.0034110871481268915,16.0,0.275390625,0.30078125,-0.4181818181818182,-1,10000,True,-0.004439533633558185,0.275390625,0.275390625,0.30078125,n.s.,n.s.,True,,0.275390625
MacroF1,0.2,baseline,AsyCo,10,-0.020760772789731756,-0.0356627718364182,-0.005858699982439256,6.0,0.02734375,0.03125,-0.7818181818181819,-1,10000,True,-0.020760772789731756,0.02734375,0.08203125,0.09375,n.s.,n.s.,True,,0.08203125
MacroF1,0.2,SCE,ELR,10,0.17408976250055147,0.16111628039411227,0.18825192505300817,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.17408976250055147,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.2,SCE,AsyCo,10,0.1577685233443779,0.1457854761706561,0.16934048000864954,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.1577685233443779,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.2,ELR,AsyCo,10,-0.01632123915617357,-0.028516400975220294,-0.002954625547310424,8.0,0.048828125,0.046875,-0.7090909090909091,-1,10000,True,-0.01632123915617357,0.048828125,0.09765625,0.09375,n.s.,n.s.,True,,0.09765625
MacroF1,0.3,baseline,SCE,10,-0.13928845485715644,-0.15050593004313867,-0.12875596841754283,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.13928845485715644,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroF1,0.3,baseline,ELR,10,-0.002753343058988708,-0.009416457035910125,0.004217668859940729,22.0,0.625,0.453125,-0.19999999999999996,-1,10000,True,-0.002753343058988708,0.625,0.625,0.453125,n.s.,n.s.,True,,0.625
MacroF1,0.3,baseline,AsyCo,10,-0.01951554167265882,-0.030934125809173953,-0.008005527910102766,4.0,0.013671875,0.017578125,-0.8545454545454545,-1,10000,True,-0.01951554167265882,0.013671875,0.041015625,0.052734375,-*,n.s.,False,!,0.041015625
MacroF1,0.3,SCE,ELR,10,0.13653511179816774,0.1279810852878568,0.14552987929027514,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.13653511179816774,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.3,SCE,AsyCo,10,0.11977291318449763,0.10556620244679145,0.13272168807232018,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.11977291318449763,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.3,ELR,AsyCo,10,-0.01676219861367011,-0.030875969728438406,-0.0029045630989635277,9.0,0.064453125,0.048828125,-0.6727272727272727,-1,10000,True,-0.01676219861367011,0.064453125,0.12890625,0.09765625,n.s.,n.s.,True,,0.12890625
MacroF1,0.4,baseline,SCE,10,-0.08857514266816954,-0.09799130491008555,-0.0798145237938754,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.08857514266816954,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroF1,0.4,baseline,ELR,10,0.007438708753748147,0.0025706251301047933,0.012098819740234537,5.0,0.01953125,0.021484375,0.8181818181818181,1,10000,True,0.007438708753748147,0.01953125,0.05859375,0.046875,n.s.,+*,False,!,0.05859375
MacroF1,0.4,baseline,AsyCo,10,-0.01951833576381135,-0.03720169500573397,-0.002995197059490617,9.0,0.064453125,0.060546875,-0.6727272727272727,-1,10000,True,-0.01951833576381135,0.064453125,0.064453125,0.060546875,n.s.,n.s.,True,,0.064453125
MacroF1,0.4,SCE,ELR,10,0.0960138514219177,0.08448174707644046,0.10784242169337106,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.0960138514219177,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.4,SCE,AsyCo,10,0.06905680690435821,0.047967779643359854,0.08920588725704866,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.06905680690435821,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.4,ELR,AsyCo,10,-0.02695704451755949,-0.04248467634617737,-0.010617008956737799,6.0,0.02734375,0.015625,-0.7818181818181819,-1,10000,True,-0.02695704451755949,0.02734375,0.05859375,0.046875,n.s.,-*,False,!,0.05859375
MacroF1,0.5,baseline,SCE,10,-0.06368457631676347,-0.07427677177279736,-0.05322170504910843,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.06368457631676347,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroF1,0.5,baseline,ELR,10,0.008215006849212711,-0.0008318930683594023,0.01538694012660487,10.0,0.083984375,0.099609375,0.6363636363636364,1,10000,True,0.008215006849212711,0.083984375,0.083984375,0.099609375,n.s.,n.s.,True,,0.083984375
MacroF1,0.5,baseline,AsyCo,10,-0.022359122617975093,-0.03704788893877082,-0.00806126668445561,6.0,0.02734375,0.01953125,-0.7818181818181819,-1,10000,True,-0.022359122617975093,0.02734375,0.0546875,0.0390625,n.s.,-*,False,!,0.0546875
MacroF1,0.5,SCE,ELR,10,0.07189958316597618,0.0615788856308846,0.08258216776586239,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.07189958316597618,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.5,SCE,AsyCo,10,0.04132545369878837,0.03124943575074478,0.05163285300543456,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.04132545369878837,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.5,ELR,AsyCo,10,-0.030574129467187804,-0.045410606756589804,-0.014927658280641676,4.0,0.013671875,0.01171875,-0.8545454545454545,-1,10000,True,-0.030574129467187804,0.013671875,0.041015625,0.03515625,-*,-*,True,,0.041015625
MacroAUC,0.0,baseline,SCE,10,-0.01393713776038974,-0.017936171800191657,-0.009789244911050224,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.01393713776038974,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.0,baseline,ELR,10,0.04805433835830275,0.03651579581683884,0.05903381313060693,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.04805433835830275,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.0,baseline,AsyCo,10,0.02972248933492829,0.015547416714870832,0.046243364291738163,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.02972248933492829,0.00390625,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.0,SCE,ELR,10,0.06199147611869249,0.04983870171709047,0.07397379119656297,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.06199147611869249,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.0,SCE,AsyCo,10,0.04365962709531803,0.03212971121316569,0.05808776359037588,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.04365962709531803,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.0,ELR,AsyCo,10,-0.01833184902337446,-0.0380246604797332,-0.0011894103365547059,12.0,0.130859375,0.076171875,-0.5636363636363637,-1,10000,True,-0.01833184902337446,0.130859375,0.130859375,0.076171875,n.s.,n.s.,True,,0.130859375
MacroAUC,0.1,baseline,SCE,10,-0.03179378421920798,-0.03904054241117466,-0.025371246503594735,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.03179378421920798,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.1,baseline,ELR,10,0.01867124958158901,0.01539552849262067,0.021959060243813992,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01867124958158901,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.1,baseline,AsyCo,10,0.01515740364610938,0.0018845483552628174,0.033179427231369366,8.0,0.048828125,0.052734375,0.7090909090909091,1,10000,True,0.01515740364610938,0.048828125,0.09765625,0.10546875,n.s.,n.s.,True,,0.09765625
MacroAUC,0.1,SCE,ELR,10,0.05046503380079699,0.045009299568124606,0.05601090374368302,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.05046503380079699,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.1,SCE,AsyCo,10,0.04695118786531736,0.03667025952471951,0.0621579093230896,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.04695118786531736,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.1,ELR,AsyCo,10,-0.0035138459354796315,-0.016879330456714265,0.01579001591051398,16.0,0.275390625,0.791015625,-0.4181818181818182,-1,10000,True,-0.0035138459354796315,0.275390625,0.275390625,0.791015625,n.s.,n.s.,True,,0.275390625
MacroAUC,0.2,baseline,SCE,10,-0.027657912385133897,-0.032959112810944005,-0.02195340719736006,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.027657912385133897,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.2,baseline,ELR,10,0.016179577662380384,0.011048311677455845,0.021993143547857138,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.016179577662380384,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.2,baseline,AsyCo,10,0.00943626108483513,-0.005317811723393857,0.026153717421208766,17.0,0.322265625,0.322265625,0.38181818181818183,1,10000,True,0.00943626108483513,0.322265625,0.322265625,0.64453125,n.s.,n.s.,True,,0.322265625
MacroAUC,0.2,SCE,ELR,10,0.043837490047514284,0.03691679710203231,0.04974526100184074,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.043837490047514284,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.2,SCE,AsyCo,10,0.03709417346996903,0.02359267421813557,0.052612589228949624,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.03709417346996903,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.2,ELR,AsyCo,10,-0.006743316577545256,-0.019280974596185767,0.0073202108259482574,12.0,0.130859375,0.375,-0.5636363636363637,-1,10000,True,-0.006743316577545256,0.130859375,0.26171875,0.64453125,n.s.,n.s.,True,,0.26171875
MacroAUC,0.3,baseline,SCE,10,-0.031993009557234484,-0.042680679104945544,-0.02153207789901228,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.031993009557234484,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.3,baseline,ELR,10,0.008747015356506104,-0.0017661303372632194,0.01894260242620649,12.0,0.130859375,0.15234375,0.5636363636363637,1,10000,True,0.008747015356506104,0.130859375,0.130859375,0.15234375,n.s.,n.s.,True,,0.130859375
MacroAUC,0.3,baseline,AsyCo,10,-0.01538170552655086,-0.025641418768176428,-0.0037098418946778316,7.0,0.037109375,0.037109375,-0.7454545454545455,-1,10000,True,-0.01538170552655086,0.037109375,0.07421875,0.07421875,n.s.,n.s.,True,,0.07421875
MacroAUC,0.3,SCE,ELR,10,0.04074002491374059,0.033612819497088,0.047876153232998445,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.04074002491374059,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.3,SCE,AsyCo,10,0.016611304030683626,0.006576974218573648,0.026528590160754557,5.0,0.01953125,0.017578125,0.8181818181818181,1,10000,True,0.016611304030683626,0.01953125,0.05859375,0.052734375,n.s.,n.s.,True,,0.05859375
MacroAUC,0.3,ELR,AsyCo,10,-0.024128720883056964,-0.03365257914195119,-0.014713488116727404,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,-0.024128720883056964,0.00390625,0.015625,0.015625,-*,-*,True,,0.015625
MacroAUC,0.4,baseline,SCE,10,-0.013359441643390113,-0.017812986869378225,-0.008870015755338762,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.013359441643390113,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.4,baseline,ELR,10,0.01930222803114101,0.015088433269904732,0.02371238825202551,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01930222803114101,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.4,baseline,AsyCo,10,-0.017411696306583624,-0.023491047926455694,-0.011702190394355749,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.017411696306583624,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.4,SCE,ELR,10,0.03266166967453112,0.025764437187483866,0.04008436048595948,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.03266166967453112,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.4,SCE,AsyCo,10,-0.0040522546631935105,-0.012178840138753673,0.00420527796768055,17.0,0.322265625,0.3671875,-0.38181818181818183,-1,10000,True,-0.0040522546631935105,0.322265625,0.322265625,0.3671875,n.s.,n.s.,True,,0.322265625
MacroAUC,0.4,ELR,AsyCo,10,-0.036713924337724635,-0.042177483610049936,-0.03170151166095362,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.036713924337724635,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.5,baseline,SCE,10,-0.019068292455673107,-0.03392727347512158,-0.0067809744676664,4.0,0.013671875,0.01171875,-0.8545454545454545,-1,10000,True,-0.019068292455673107,0.013671875,0.029296875,0.0234375,-*,-*,True,,0.029296875
MacroAUC,0.5,baseline,ELR,10,0.017228759917326485,0.008879450885708148,0.025007008970632436,3.0,0.009765625,0.0078125,0.8909090909090909,1,10000,True,0.017228759917326485,0.009765625,0.029296875,0.0234375,+*,+*,True,,0.029296875
MacroAUC,0.5,baseline,AsyCo,10,-0.02486609537645188,-0.03564311988203053,-0.014409310343282185,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,-0.02486609537645188,0.00390625,0.015625,0.015625,-*,-*,True,,0.015625
MacroAUC,0.5,SCE,ELR,10,0.03629705237299959,0.02676025156365677,0.04657921059906065,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.03629705237299959,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.5,SCE,AsyCo,10,-0.005797802920778772,-0.014328677038196102,0.003129052177819201,15.0,0.232421875,0.24609375,-0.4545454545454546,-1,10000,True,-0.005797802920778772,0.232421875,0.232421875,0.24609375,n.s.,n.s.,True,,0.232421875
MacroAUC,0.5,ELR,AsyCo,10,-0.04209485529377836,-0.050395880806802275,-0.031834690988786996,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.04209485529377836,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
