metric,method,tau,mean,lo,hi,n
BA,baseline,0.0,0.7494312960234173,0.7324969569690521,0.7661087597461818,10
BA,baseline,0.1,0.609436589671853,0.5915811885208048,0.6281666447798367,10
BA,baseline,0.2,0.6023901739509616,0.579023947414388,0.6226631694721814,10
BA,baseline,0.3,0.5429261387642884,0.5182465023115044,0.5680310766764874,10
BA,baseline,0.4,0.5232735730034139,0.5072914783415381,0.537790661978857,10
BA,baseline,0.5,0.4823738447994227,0.45627072666161256,0.5099837376245411,10
BA,SCE,0.0,0.7544293344630347,0.7313228144148922,0.7772323206970108,10
BA,SCE,0.1,0.7121463243029715,0.6881766171214367,0.736332976447423,10
BA,SCE,0.2,0.6682637986711761,0.6393212380625503,0.6956076519257925,10
BA,SCE,0.3,0.6105454415874412,0.5929939331683411,0.6268575540067697,10
BA,SCE,0.4,0.5751492869566317,0.5539399208868879,0.5940302593557817,10
BA,SCE,0.5,0.5428419666486621,0.5205073380142456,0.5622566529749669,10
BA,ELR,0.0,0.6718071628817077,0.6461578735671896,0.6958122315002571,10
BA,ELR,0.1,0.6129771257511152,0.5917373020494407,0.6348957540770931,10
BA,ELR,0.2,0.6103851095281267,0.5871519456909831,0.6319076236523381,10
BA,ELR,0.3,0.55997265185663,0.5363960423500621,0.582771273522412,10
BA,ELR,0.4,0.5203407095530308,0.5036225959013925,0.5367694446948648,10
BA,ELR,0.5,0.4911386205143792,0.4628300594272073,0.518941772924687,10
BA,AsyCo,0.0,0.6593444404171899,0.6241844904949201,0.6872964505531782,10
BA,AsyCo,0.1,0.5865625090469084,0.5522500201306262,0.6145106379612552,10
BA,AsyCo,0.2,0.5629813570692693,0.5344917113034974,0.5914922144436736,10
BA,AsyCo,0.3,0.5392014432926644,0.5247329392459944,0.5553174093711627,10
BA,AsyCo,0.4,0.5330609075868331,0.5144477319362851,0.5531179799465833,10
BA,AsyCo,0.5,0.5115882537145033,0.49299175279128044,0.5339035811048534,10
MacroF1,baseline,0.0,0.567743227940075,0.5472429006995269,0.5887700686631574,10
MacroF1,baseline,0.1,0.2552552645507892,0.24503851142379537,0.26662806715474363,10
MacroF1,baseline,0.2,0.2372219341531466,0.2265584751847142,0.24766293746608217,10
MacroF1,baseline,0.3,0.20574516630436154,0.1977855636637849,0.21376896957790206,10
MacroF1,baseline,0.4,0.18837490138086144,0.1832874713789785,0.19380818584982287,10
MacroF1,baseline,0.5,0.16962671828397935,0.16079648273543784,0.17813054608152146,10
MacroF1,SCE,0.0,0.6716846331032109,0.6556461587706574,0.6895554650817979,10
MacroF1,SCE,0.1,0.5014724883731895,0.486102784261023,0.5174129199385935,10
MacroF1,SCE,0.2,0.4157512302872563,0.4026450203301905,0.4308657105768996,10
MacroF1,SCE,0.3,0.34503362116151803,0.3338754939901829,0.35538706939175563,10
MacroF1,SCE,0.4,0.27695004404903095,0.2641972699288995,0.2905846970571422,10
MacroF1,SCE,0.5,0.23331129460074282,0.22510191795547252,0.2428323035868525,10
MacroF1,ELR,0.0,0.417017582182979,0.39284180726164,0.448942871745435,10
MacroF1,ELR,0.1,0.24978368794655387,0.24039499049443472,0.2580791363097998,10
MacroF1,ELR,0.2,0.24166146778670483,0.2320644001830179,0.2509434637070528,10
MacroF1,ELR,0.3,0.2084985093633503,0.19848474623195753,0.21696294096201402,10
MacroF1,ELR,0.4,0.1809361926271133,0.1760890634977808,0.1860627904252224,10
MacroF1,ELR,0.5,0.16141171143476665,0.15550082303083174,0.1674954335753017,10
MacroF1,AsyCo,0.0,0.4349320817240915,0.4170764386112095,0.45119712519002186,10
MacroF1,AsyCo,0.1,0.28733950951309783,0.2728554946838399,0.29888421215777067,10
MacroF1,AsyCo,0.2,0.2579827069428784,0.24456971214803225,0.2717933489877942,10
MacroF1,AsyCo,0.3,0.2252607079770204,0.21460515186262147,0.23470619498793613,10
MacroF1,AsyCo,0.4,0.20789323714467275,0.189022531549714,0.22596143361127205,10
MacroF1,AsyCo,0.5,0.19198584090195445,0.1776998589211151,0.20615612844067518,10
MacroAUC,baseline,0.0,0.9450886730450201,0.9408603901029793,0.9493696160801794,10
MacroAUC,baseline,0.1,0.8759734086972418,0.8694663004317339,0.8830161342197774,10
MacroAUC,baseline,0.2,0.862605250607146,0.8537027435334745,0.8702092911826516,10
MacroAUC,baseline,0.3,0.8330279580414656,0.8190800582627313,0.8462669201544268,10
MacroAUC,baseline,0.4,0.8222721897409428,0.8134255096819495,0.8302213087129798,10
MacroAUC,baseline,0.5,0.7999700535518743,0.7849228862575386,0.8142928122059154,10
MacroAUC,SCE,0.0,0.9590258108054097,0.9547077862463834,0.9632278807767535,10
MacroAUC,SCE,0.1,0.9077671929164497,0.8996486537658623,0.9150535762863061,10
MacroAUC,SCE,0.2,0.8902631629922799,0.8821158215298079,0.8987707001562444,10
MacroAUC,SCE,0.3,0.8650209675987002,0.8541710286784476,0.8747826559459048,10
MacroAUC,SCE,0.4,0.8356316313843329,0.8281802644001597,0.8431694733024446,10
MacroAUC,SCE,0.5,0.8190383460075473,0.8080280410206419,0.829360921674194,10
MacroAUC,ELR,0.0,0.8970343346867173,0.883606695442811,0.9096472062453534,10
MacroAUC,ELR,0.1,0.8573021591156527,0.8521884301707725,0.8632790971624654,10
MacroAUC,ELR,0.2,0.8464256729447657,0.8367950490547266,0.8552578390947936,10
MacroAUC,ELR,0.3,0.8242809426849595,0.8122418053685214,0.8352907505756756,10
MacroAUC,ELR,0.4,0.8029699617098018,0.7915885509886238,0.8135779431037403,10
MacroAUC,ELR,0.5,0.7827412936345478,0.7685133103914603,0.7978713480436798,10
MacroAUC,AsyCo,0.0,0.9153661837100918,0.8976657954501327,0.9285416672421636,10
MacroAUC,AsyCo,0.1,0.8608160050511323,0.8392027002739154,0.8753763590986624,10
MacroAUC,AsyCo,0.2,0.8531689895223108,0.8373531333618385,0.8656895664476711,10
MacroAUC,AsyCo,0.3,0.8484096635680165,0.8410292642848037,0.8568875923667922,10
MacroAUC,AsyCo,0.4,0.8396838860475265,0.829069600749696,0.8510648520040911,10
MacroAUC,AsyCo,0.5,0.8248361489283262,0.8154060237181137,0.8361155775879459,10
