trial,state,value,duration_s,param_lambda_u,param_K,param_temperature,param_warmup_epochs
0,COMPLETE,0.5336136404142671,3488.047776,9.363502971184062,1,0.29356270912614957,23
1,COMPLETE,0.5183566604572618,3330.751221,15.02787529358022,3,0.38636872540532546,8
2,COMPLETE,0.5328729447155292,3404.975838,7.606056073988443,4,0.4691084864014136,12
3,COMPLETE,0.51912740571641,3379.846162,11.401749605425898,1,0.7056586389260788,8
4,COMPLETE,0.5904449873093924,3318.742138,1.626289824631988,2,0.7631747698841177,14
5,COMPLETE,0.5696789860480725,3336.572415,3.050955871119471,3,0.4837833070670582,15
6,COMPLETE,0.5447226408946101,3380.671652,13.667756983581992,2,0.6984249841083139,24
7,COMPLETE,0.5826685372197332,3404.222771,2.2123125512979875,4,0.871553131863947,12
8,COMPLETE,0.5565201002028288,3416.647791,7.023362742184519,5,0.8291835769724931,9
9,COMPLETE,0.6024183615043768,3409.749413,0.13805292809005998,1,0.5188492964082044,7
10,COMPLETE,0.5521051748381052,3428.497806,21.577585646889837,1,0.7972046337535481,18
11,COMPLETE,0.5576655750809593,3417.752098,22.180318564408164,4,0.8282253849659207,15
12,COMPLETE,0.5472640766131003,3427.290994,13.068320734549852,5,0.485766985807245,15
13,COMPLETE,0.509571106912098,786.454186,22.689161848152324,3,0.467313589685326,8
14,COMPLETE,0.5480690483405655,3469.06127,23.242441308564327,3,0.9194192488674833,16
15,COMPLETE,0.538329185378726,3444.999682,4.742314150334026,1,0.25650467519840003,9
16,COMPLETE,0.6333540093946397,3375.520131,0.16145334658239197,2,0.6729355939076695,19
17,COMPLETE,0.6167414711367044,3384.903183,0.6276376779206787,2,0.36567006070217245,19
18,COMPLETE,0.5778976864190103,3413.99945,2.3903290492393237,2,0.4243126814374281,25
19,COMPLETE,0.5937311663147966,3400.433899,3.003291230980274,5,0.6350711656313075,23
20,COMPLETE,0.5353797225779189,1531.681004,1.4701728943134094,2,0.29473333196641843,13
21,COMPLETE,0.5292182954613525,1516.069469,5.471293467266633,1,0.5535157771530899,7
22,COMPLETE,0.6220915276066421,3387.610463,0.0832885881244689,1,0.7092222775629551,6
23,COMPLETE,0.5871019080283844,3376.242568,2.2279716174064603,4,0.616080009454427,18
24,COMPLETE,0.5072200449054874,737.703719,4.176332830305555,2,0.7985499481997518,5
25,COMPLETE,0.5928969039277205,3378.778238,1.9098177150185291,2,0.7431477108658525,21
26,COMPLETE,0.5462331833256762,1533.08573,2.119850430656541,1,0.8618825980459786,9
27,COMPLETE,0.567145205727671,3373.950205,2.626276455375292,2,0.25296227025323426,19
28,RUNNING,,,3.8762697131194295,3,0.7121532350291546,6
29,COMPLETE,0.5113029428143717,760.523681,22.917164128528576,1,0.3418864207512474,15
30,COMPLETE,0.5924630522009778,3312.91534,1.568299064140911,2,0.5761967254579795,19
31,COMPLETE,0.5258530561601145,796.652733,7.341414085092232,5,0.27054091673054237,22
32,COMPLETE,0.604649667170736,3397.024502,0.48927661452884064,4,0.5477005135601845,7
33,COMPLETE,0.605330876751745,3415.634125,0.3256546070254349,4,0.5654348614557061,6
34,COMPLETE,0.6191650508018511,3404.573687,0.5533821040750708,1,0.7644448906704792,19
35,COMPLETE,0.5654867537839351,3383.406868,6.327843350759332,1,0.8925861277444871,17
36,COMPLETE,0.6160847903402157,3387.521781,0.49936506145729664,1,0.8597839070202844,23
37,COMPLETE,0.5536980834045556,2251.798716,2.9787497420368862,1,0.6142396418198987,18
38,COMPLETE,0.5069731846695053,750.718519,21.50465837108302,3,0.4505244868748913,25
39,COMPLETE,0.5940900646251436,3444.538427,2.3386517866191845,3,0.727455942526646,18
40,COMPLETE,0.6046727923271092,3396.210554,0.4294240925273932,5,0.9317528604236482,20
41,COMPLETE,0.5900283691843441,3390.444679,1.3899015115776072,5,0.6535926151444404,16
42,COMPLETE,0.5440800797102249,1184.277764,3.1777215376311463,1,0.8121216032799952,23
43,COMPLETE,0.5321200570968735,768.955806,1.097673111078849,1,0.9377733132312163,25
44,COMPLETE,0.5942334295847871,3507.324742,0.942656584832006,5,0.3855845277265103,17
45,COMPLETE,0.5941239146844708,3456.260922,0.8953514985456303,1,0.815515577621358,20
46,COMPLETE,0.5414792297097393,942.52944,1.6900726941709587,1,0.6856310379970407,10
47,COMPLETE,0.5811076514206889,2535.696356,1.7245194712824663,3,0.4395013074071961,21
48,COMPLETE,0.5568393467869093,1471.719954,2.2511062433046742,4,0.297938117394703,18
49,COMPLETE,0.5943574214078154,3492.214073,2.002713393701283,4,0.8546096899011791,21
50,COMPLETE,0.5371349752821917,755.071801,2.38427607477701,1,0.29815686232803007,22
51,COMPLETE,0.5262852848504257,768.751753,4.983259405783983,1,0.6950398280780338,5
52,COMPLETE,0.5412713190212368,776.53107,3.814327350110864,3,0.7336952045302844,6
53,COMPLETE,0.5470615489511989,954.221727,4.859332457946541,4,0.7594457717625679,8
54,COMPLETE,0.5503888104883531,1215.408449,1.3843418976834996,5,0.6288074240393103,5
55,COMPLETE,0.6045176508500049,3379.142409,0.8802251491917664,3,0.9728400612782139,22
56,COMPLETE,0.5440663397623577,780.496092,0.33915478211623895,1,0.7965955936216269,5
57,COMPLETE,0.5893694679461532,3495.235674,2.039551403716856,2,0.7892949144420589,16
58,COMPLETE,0.4979278750648869,768.858981,20.027629441168017,2,0.7882593420054355,9
59,COMPLETE,0.5230347846876697,779.07687,3.161479762194139,3,0.3886049409506873,9
60,COMPLETE,0.5317336129891796,742.35148,7.019364465382127,2,0.43407296999034445,19
61,COMPLETE,0.5934659886271134,3386.405191,0.1999980974521821,4,0.6480333123776898,5
62,COMPLETE,0.6149105293773743,3361.902711,1.063860193622357,5,0.8747490630177226,20
63,COMPLETE,0.5499015492449587,907.052454,13.825233466962175,3,0.7639335418825886,20
64,COMPLETE,0.567003368411348,1478.459605,14.682427425249134,4,0.9698280594590647,19
65,COMPLETE,0.5251461603688764,736.487862,1.7008853173928573,4,0.40587784259689363,5
66,COMPLETE,0.538618256451883,740.726054,13.830781882372865,4,0.27330104553157125,25
67,COMPLETE,0.6320170511178105,3320.786589,0.48404554275869505,2,0.36753225609986545,16
68,COMPLETE,0.6108840330132225,3314.929021,0.5621904013430701,2,0.42689120697904726,14
69,COMPLETE,0.6235852836278581,3320.286506,1.4639997264442584,5,0.8296467836348137,24
70,COMPLETE,0.5752114533810364,1812.902089,6.263144848080515,5,0.9052666127927057,24
71,COMPLETE,0.5581345153080598,911.555203,3.3370325988866405,2,0.3917051916867724,20
72,COMPLETE,0.6191528449622041,3369.857209,2.345485639530484,5,0.8275391838728526,19
73,COMPLETE,0.5620549150796649,1192.328034,10.198099324310766,5,0.7715249499044867,19
74,COMPLETE,0.6025603940268496,3348.992632,2.5457908346854365,2,0.8299957132956246,25
75,COMPLETE,0.5634176246727008,1206.819533,3.933121287230053,5,0.7898197529053765,20
76,COMPLETE,0.6213520717806347,3314.024986,1.2530056368899767,5,0.9208947962136855,25
77,COMPLETE,0.6130142804430164,3372.735105,0.28673523875574936,5,0.6761174624230647,22
78,COMPLETE,0.6345451450497123,3318.220792,0.5057859182197428,5,0.8816314819690363,25
79,COMPLETE,0.6231101984243423,3377.927738,1.299355002780584,5,0.9389110046322662,24
80,COMPLETE,0.6341841966167621,3325.66117,0.12048341957792363,5,0.9397749314346783,24
81,COMPLETE,0.6381739069533949,3316.181412,0.3388620442723089,5,0.9321256017271976,24
82,COMPLETE,0.6071802383787059,3331.637924,3.034359673790311,5,0.9873625381438997,25
83,COMPLETE,0.6100090660534008,3319.028441,1.485272872798563,5,0.8318448104144908,25
84,COMPLETE,0.6446706194690733,3325.194801,0.10674833133669703,5,0.8133026604676654,24
85,COMPLETE,0.6187804454722396,3338.68012,1.1743450985530008,3,0.7910868452849539,25
86,COMPLETE,0.6247290784012876,3329.845073,0.2071345206677503,5,0.9951065743420227,23
87,COMPLETE,0.636908717888204,3336.702971,0.3691989968567243,5,0.817727562880239,24
88,COMPLETE,0.6087645457871786,3320.915874,0.7948913603816897,5,0.9912990458878822,22
89,COMPLETE,0.6222198446894751,3369.514672,1.082193616291641,5,0.6866365471134184,25
90,COMPLETE,0.6420716827211151,3320.355643,0.2656371231801029,5,0.804426480740514,24
91,COMPLETE,0.6251376759156045,3326.597705,0.676802383727582,2,0.6353445085623235,20
92,COMPLETE,0.6127117252186765,3316.11791,0.16974337261216904,2,0.6405389821509259,21
93,RUNNING,,,0.05671414007128972,5,0.8437463668191117,23
94,COMPLETE,0.6272336459578426,3496.407962,0.43441467481130125,2,0.9799839432662991,25
95,COMPLETE,0.6014459288826174,3451.170344,0.8971139187202843,2,0.9644298645968822,22
96,COMPLETE,0.6057125312241396,3392.264771,1.1123931069172674,4,0.9537403700969851,24
97,COMPLETE,0.49977171174894525,746.380004,23.674046909753734,4,0.3082694059010769,7
98,COMPLETE,0.575703727267338,1509.942911,1.7908217633865666,2,0.6288867639245614,18
99,COMPLETE,0.542650785551082,727.64623,9.379911246358052,2,0.6887166316073375,20
100,COMPLETE,0.5588133057775699,767.500794,1.8052651133414508,2,0.9879262626018762,23
101,COMPLETE,0.6176935934977508,3307.114491,1.2176243139184546,5,0.7737711769691367,25
